FTR,B365H,B365D,B365A,FCTH,FCTD,FCTA,L5GH,L5GA,GSPMH,GSPMA,GCPMH,GCPMA,CSH,CSA,CFGH,CAGH,CFGA,CAGF,BPH,BPA,L5MH,L5MD,L5MA
1,1.95,3.5,3.2,1.95,3.5,3.2,2.83,1.4,2.83,1.4,1,0.4,0.33,0.8,3.83,5,4.5,5,0.49,0.5,0,2,3
0,1.9,3,4.75,1.9,3,4.75,1.33,0.17,1.27,1.27,1,0.95,0.37,0.4,4.51,6,4.58,4.53,0.51,0.52,2,0,3
1,2.25,2.87,3.1,2.25,2.87,3.1,0.33,0.5,0.88,0.88,0.91,1.16,0.41,0.25,3.77,4.94,4.16,5.09,0.49,0.49,2,2,1
0,1.72,3.7,3.8,1.72,3.7,3.8,1.83,1,2.07,1,1.5,1.73,0.36,0.18,4.23,3.85,3.6,4.4,0.54,0.44,0,0,0
2,1.5,4.1,4.75,1.5,4.1,4.75,2.17,1.17,2.88,2.73,1.38,1.55,0.12,0.18,6.2,6.8,6.9,4.5,0.51,0.52,3,1,1
0,2.8,3.7,2.05,2.8,3.7,2.05,1,1,0.8,1.5,1.7,1.83,0,0.33,4.86,3,2.57,5.29,0.5,0.41,3,0,2
0,3.3,2.9,2.15,3.3,2.9,2.15,0,0.17,0.31,0.59,3.41,1.82,0.16,0.21,1.14,10.18,1.67,5.17,0.27,0.22,1,1,0
0,1.53,4,5.25,1.53,4,5.25,1.17,0.5,1.98,1.11,1.43,1.82,0.33,0.18,5.35,5.2,3.82,4.09,0.46,0.49,1,0,0
2,3.6,3.4,1.85,3.6,3.4,1.85,1.67,2,1.19,2.33,1.14,1.05,0.22,0.38,4.53,5.59,6.32,3.97,0.47,0.53,3,0,2
0,1.55,4.33,4.2,1.55,4.33,4.2,2.67,2.17,1.88,1.43,1.35,1.81,0.27,0.14,5.6,5.32,4.44,4.11,0.58,0.55,4,0,1
0,2.55,3.1,2.5,2.55,3.1,2.5,1.17,1,1.44,1.51,1.5,0.81,0.24,0.43,4.97,5.18,5.35,3.94,0.58,0.45,3,1,1
0,1.4,4.5,5.75,1.4,4.5,5.75,2.17,1.33,1.74,1.47,1.38,1.29,0.29,0.28,4.88,4.82,5.1,4.59,0.55,0.47,3,2,0
2,3,3.5,2.05,3,3.5,2.05,1.5,1.83,2.07,1.62,1.47,1.92,0.33,0.15,6.71,4.86,3.55,5.27,0.47,0.43,0,1,1
0,1.61,4.2,4.2,1.61,4.2,4.2,2.5,1.5,2.25,1,1.17,1.89,0.17,0.11,4.9,4.1,3.25,4.75,0.5,0.55,2,3,0
2,2.4,3.1,3.2,2.45,3.1,3.1,1,1.33,1.57,1.73,1.32,1.2,0.38,0.35,5.38,3.09,5.85,4.54,0.52,0.53,0,1,0
0,2.35,3.25,3.2,2.37,3.25,3.1,1.17,1.5,1.87,1.6,0.79,1.03,0.46,0.38,6.83,3.52,5.07,3.9,0.62,0.55,1,2,0
2,3,3.1,2.3,3,3.1,2.3,1.17,1.17,1.19,1.1,1.3,1.05,0.29,0.36,4.46,4.15,5.14,4.89,0.52,0.52,1,2,2
0,3.8,3,2.15,3.8,3,2.1,0.67,0.17,0.24,0.15,3.06,2.73,0.06,0.03,1.78,1.36,7.78,8.32,0.29,0.32,0,1,1
2,2.25,3.1,3.4,2.25,3.1,3.4,1.17,1.5,0.62,0.7,1.82,2.08,0.12,0.2,3.07,6.22,3.42,5.5,0.42,0.36,0,0,1
1,2.1,3.3,3.2,2.1,3.3,3.2,0.83,1,0.83,1,1.5,2,0.33,0,3.6,4,3,4.33,0.53,0.53,1,1,0
1,2.15,3.3,3.1,2.15,3.3,3.1,1.17,1.75,1.17,1.75,0.33,1.25,0.67,0,5.5,3.5,3.67,1.33,0.57,0.53,0,2,0
1,2.55,3.2,2.55,2.55,3.2,2.55,1.67,0.67,1.06,1.11,1.13,0.68,0.31,0.49,5.24,5.55,4.31,4.31,0.53,0.53,1,3,1
2,2.37,3.2,3.1,2.37,3.2,3.1,0.5,0.67,1.3,1.32,1.3,0.95,0.24,0.45,4.21,4.38,5.31,4.31,0.46,0.5,0,1,1
0,2.1,3.4,3.5,2.1,3.4,3.5,1.5,1.17,1.24,1.18,1.55,1.38,0.26,0.29,3.79,6.64,5.06,3.78,0.44,0.45,0,0,0
1,3.4,3.3,2.15,3.4,3.3,2.15,0.83,1.67,1.36,1.82,1,1.26,0.36,0.26,3.45,5.39,4.69,3.75,0.48,0.55,0,0,0
1,2.55,3.2,2.87,2.55,3.2,2.87,1,1.5,1.26,2.08,1.26,1.51,0.29,0.28,4.95,3.95,5.42,3.64,0.49,0.57,1,1,1
2,2.45,3.25,2.87,2.45,3.25,2.87,1.17,1.83,1.63,1.4,1.13,1,0.25,0.4,4.4,4.6,4.7,4.4,0.48,0.48,3,1,1
0,3.1,3.25,2.3,3.1,3.25,2.3,1.33,2.33,1.66,1.79,1.42,1.26,0.34,0.23,3.47,5.41,5.2,3.33,0.41,0.52,0,1,0
2,2.15,3.1,3.6,2.15,3.1,3.6,1.17,1.17,1.1,1.33,0.7,1.33,0.3,0,2.6,4.4,4.56,5.78,0.46,0.51,3,2,0
0,2.25,3.2,3.4,2.25,3.2,3.4,0.83,1.17,0.89,1.25,0.78,1,0.44,0.5,4.5,4.38,5.33,4.17,0.54,0.47,1,2,2
2,2.1,3.6,3,2.1,3.6,3,2.5,1.33,2.57,1.5,1.64,1,0.21,0.33,5.18,3.55,5.73,2.36,0.53,0.54,1,2,2
2,2.25,2.9,3.6,2.25,2.9,3.6,0.83,1.17,1.21,1.68,1,0.91,0.33,0.43,5,4.9,6.7,4.61,0.5,0.53,1,1,1
1,2.15,3.5,2.87,2.15,3.5,2.87,1.33,0.83,1.04,1.47,1.7,1.43,0.19,0.27,4.65,5.88,5.5,5.7,0.48,0.46,1,1,3
0,2.15,3.1,3.3,2.15,3.1,3.3,1.17,1.17,0.96,1.54,0.93,1.32,0.39,0.32,5.39,3.54,5.07,4.93,0.47,0.5,0,1,0
1,2.8,2.9,2.75,2.8,2.9,2.75,1.5,0.83,1.5,1.44,0.86,1.15,0.4,0.27,5.44,3.65,3.9,5,0.54,0.5,2,2,1
1,1.95,3.9,3.5,1.95,3.9,3.5,1.67,2.33,1.21,1.38,1.89,1.68,0.24,0.24,4.74,4.83,5.48,5,0.5,0.45,0,0,0
1,1.95,3.8,3.6,1.95,3.8,3.6,1.83,2.17,1.34,2.08,1.13,1.18,0.26,0.38,4.51,4.6,5.59,4.78,0.58,0.47,3,0,2
0,2.6,3.4,2.35,2.6,3.4,2.35,2,1.67,1.37,1.86,1.22,1.24,0.26,0.34,4.56,4.96,7.15,3.85,0.49,0.51,1,0,1
1,2.25,3.1,3,2.25,3.1,3,0.67,1,0.73,1.24,1.35,1.17,0.23,0.28,4.04,5.23,3.93,5.52,0.51,0.52,0,1,1
2,2.6,3.2,2.6,2.6,3.2,2.6,1,0.5,0.93,0.96,1.36,1.35,0.25,0.19,4.61,4.21,5.38,5.88,0.5,0.5,0,1,4
2,3.1,3.1,2.37,3.1,3.1,2.7,1,1.67,1.33,1.6,1.22,0.7,0.33,0.5,3.22,4.33,2.33,4.56,0.47,0.45,2,0,3
0,2.45,3.25,2.87,2.45,3.25,2.87,0.83,1.5,0.95,1.03,1.37,1.23,0.24,0.35,4.58,5.42,4,4.23,0.48,0.43,1,0,0
0,3,3.1,2.4,3,3.2,2.4,1,1.17,0.78,1.22,1.33,1.11,0.22,0.22,4.57,3,5.38,4.13,0.5,0.54,0,0,0
0,2.25,3.2,3.3,2.25,3.2,3.3,1.33,0.83,1.33,1,0.22,1.22,0.78,0.33,3.56,3.78,3.88,1.25,0.52,0.6,2,1,2
0,2.26,3.65,2.9,2.26,3.65,2.9,0.83,0.67,1.43,1.31,2.07,1.31,0,0.19,4.77,5.38,3.64,4.57,0.49,0.49,3,1,1
1,2.5,3.35,2.36,2.5,3.35,2.36,1.33,1.17,1.59,1.48,1.34,0.96,0.34,0.37,4.5,3.57,6.91,3.77,0.59,0.55,0,2,3
0,2.41,3.3,2.47,2.41,3.3,2.47,0.67,2,0.89,1.48,1.32,0.93,0.25,0.41,5.68,3.68,4.88,5.04,0.52,0.49,2,2,1
0,2.47,3.35,2.41,2.47,3.35,2.41,1.67,2.17,1.25,1.24,1.29,1.41,0.29,0.21,5.33,4.48,4.35,3.81,0.48,0.51,1,4,0
2,2.24,3.1,2.85,2.24,3.1,2.85,0.83,1.75,0.83,1.75,1.33,0.5,0.17,0.75,2.67,2.67,2,3.25,0.53,0.49,2,3,0
0,2.5,3.15,2.75,2.5,3.15,2.75,0.5,1.33,0.57,1.6,1.29,0.8,0.29,0.5,5.14,2.86,5.1,3.2,0.54,0.61,0,4,1
0,2.95,2.8,2.38,2.95,2.8,2.38,1.33,0.5,0.79,0.91,1.1,0.72,0.34,0.53,3.52,5.17,4.13,4.56,0.37,0.49,0,1,0
1,2.41,3.55,2.47,2.41,3.55,2.47,1.67,1.43,1.17,1.92,1.92,2.08,0.33,0.25,4.13,7.25,3.89,6,0.48,0.46,1,3,1
2,2.2,3.55,2.75,2.2,3.55,2.75,0.83,1,1.7,1.2,1.1,1.5,0.4,0.4,4.83,3.67,5.33,4.83,0.58,0.53,2,0,2
2,2.65,3.2,2.55,2.65,3.2,2.55,1,2.83,0.88,2.56,1.5,1.22,0.25,0.33,5.2,3.4,4.71,4.29,0.46,0.52,0,4,1
